word,meaning
aksar, often
akιhārι,gym
akιhārι, fitness centre
akιhārι, arena
akιhot,perplexed
akιhot, confused
akιhot, disturbed
akιhə̄ṭʰ,sixty-one
akιhə̄ṭʰʸum,sixty-first
akιnandun,the only-son
akιnǝmatʰ,ninety-one
akιsattatʰ,seventy-one
akιnǝmtihʸum,ninety-first
akιšītʰ,eighty-one
akιsatihʸum,seventy-first
akιšītihum,eighty-first
akιtrιh,thirty- one
akιtə̄ji,forty-one
akιtrῑhyum,thirty-first
akιtə̄jihiyum,forty-first
akιvanzah,fifty-one
akιvanzihiyum,fifty-first
akιvoh,twenty-one
akʰ akis pʸeṭʰ,one after the other
akʰ akis pʸeṭʰ, continuous
akʰ akis pʸeṭʰ, end-to-end
akʰ akʰ,distributively
akʰ akʰ, one each
akʰ akʰ, one another
akιvohiyum,twenty-first
akʰ akis madǝtʰ karān,help one another
akʰ akis,one another
akʰ akis, similarly
akʰlāk,manners
akʰlāk, ethics
akʰlāk, virtues
akʰlāk, morality
akʰ,one
akʰ pʰʸūr,droplet
akʰbārnǝvīs,new writer
akʰbār nǝvīsī,journalism
akʰbār nǝvīsī, profession of working journalist
akʰrājāt,expenses
akʰrājāt, charges
akʰrājāt, costs
akʰrājāt, disbursement
akʰbār,newspaper
al,bitter-guard
alag kun,aside
alag kun, to one side
alag kun, away
alag kun, apart
alag kun, out-of-the-way
alāb,syncopate
alāb, synchronize
alāb, bring in to line
alāb, orchestrate
alāb, harmonize
alāb, tone
alag alag,various
alag alag, a variety of
alag alag, a range of
alag alag, diverse
alag,distinct
alag, separate
alag, different
alag, individual
alag, clear
alabdι,signature
alabdι, autograph
alabdι, name
amb,mango
amb kul,mango tree
alam,flag
alākι,location
alākι, estate
alākι, land
alākι, domain
alāv,a fire in a pit in the open
alāv, a bonfire
alfāz,words
alfāz, vocabulary
alfāz, expressions
alārām,alarm
alārām, automatic device to arouse from sleep
alāvι,extra
alāvι, additional
alāvι, spare
alāvι, second
alāvι, superfluous
albatǝ,however
albatǝ, although
albatǝ, even though
algə̄b,by chance
algə̄b, all of sudden
algə̄b, unknowing
algə̄b, unawares
alim,knowledge
alim, wisdom
alim, education
ališ,linseed
alkʰǝnās ʦʰιnun,superstitious
alkʰǝnās ʦʰιnun, fearful
alkʰǝnās ʦʰιnun, visionary
alkʰǝnās aʦun,scared
alkʰǝnās aʦun, afraid
aljabrā,algebra
alkāb,title
alkāb, appellation
allah allah kʰə̄r sǝlah,thank God it is all over
allah allah kʰə̄r sǝlah, that was end to it
alkʰǝnās,fear
alkʰǝnās, superstition
alkʰǝnās, apprehend
alkʰǝnās, doubt
alkʰǝnās, anxiety
aliιtīl,linseed oil
allah allah karun,take the name of God
allah allah karun, fear God
allah allah karun, with great difficulty
allah hu,& phrase worship God
allah,āllah
allah, God
allahu-akbǝr,my goodness
almās,diamond
almə̄r,cabinet
almə̄r, cupboard
alnāwun,to shake
alnāwun, shiver
alnāwun, shudder
alsēṭʰʸ,big
alsēṭʰʸ, fat
alsēṭʰʸ, overweight
alsēṭʰʸ, round
alsēṭʰʸ, heavy
alιvōⁿt,hang
alιvōⁿt, drape
alιvōⁿt, droop
altʰān,pub
altʰān, bar
altʰān, tavern
alēkʸšan,election
alēkʸšan, voting
alι alι,shivering
alι alι, shaking
alι bə̄l,idiot
alι bə̄n,a plough
alι gǝḍ malι gǝḍ tulin,make a noise
alι gǝḍ malι gǝḍ tulin, disturb
alι gǝḍ malι gǝḍ tulin, hoot
alι gǝḍ malι gǝḍ tulin, clamour
alι gogōs,swing
alι gogōs, a cradle
alι gogōs, the swing rope
alι pal,near
alι pal, resembling
alι pʰāl,ploughshare
alι trāⁿgιr,large family
alι trāⁿgιr, encumbrance
alι trāⁿgιr, heavy work
alιvān,shawl of wool of endangered goat called pǝšmīna
alι,shake
alι, quake
alι, tremble
alι kul,gourd tree
amā,but
amā, other than
amā, however
amā, although
amal karin,abide by
amal karin, act in accordance with
amal karin, fulfill
amal karin, obey
aman,harmony
amānat,buildup
amānat, leave
amānat, behind
amānat, lay down
amānat, deposit
amə̄n jǝhāz,ship
and,border
and, limit
and, margin
and, rim
and, edging
and, perimeter
and, circumference edge
andar yun,to enter
andar,& prep. within
andar, inside
andar, in
andar, contained by
andar, indoors
andar, at home
andar, inwards
andar, arrived
andar kun,inwards
andar kun, at home
andar kun, indoors
andēšι,apprehension
andēšι, fearfulness
andιrust,endless
andιrust, continual
andιrust, nonstop
andιrust, never-ending
aŋ,skin type in reference to heeling of wound
angrēz,English
anigaṭι,night
anigaṭι, dark
anigaṭι, dusk
animι,rice-gruel
animι, starch
anjām warə̄y,without conclusion
anjām,end
anjām, conclusion
anjām, last part
anjām, ending
angrēzi,English language
anhǝriš,virgin
anun,to bring
anun, carry
anun, take
anun, fetch
anun, transport
anwār,turn
anwār, rotation
anwār, change
anwār, service
anwār, shifts
ant,end
ant, finish
ant, ending
apāri,on the other side
apāri, sideways
apāri, to the other side
apōr,across
apōr, crosswise
apōr, on the cross
apok,unripe
apok, not ready to be eaten or harvested
apok, immature
apīl,an appeal in the law-courts
apōr yepōr,both the sides
apōr yepōr, one and the other also
apōr tarun,go across
apōr tarun, cross
apotur,childless
apotur, barren
apotur, sterile
apotur, infertile
apotur, unfruitful
aprād,sin
aprād, an offense
aprād, a misdeed
aprād, a fault
aprād, a wicked act
apsarā,very attractive women or girl
aprēl,april
aprēl, fourth month of the year having thirty days
apuzdǝrī,perjury
apuzdǝrī, false swearing
aprēšem,a surgical procedure
aprēšem, operation
apuz wanun,to lie
apuz,lying
apuz karun,lie
apuz karun, incorrect
apuz karun, an untrue statement made with intent to deceive
apuz karun, something that deceive or mislead
aputι,dirty
aputι, filthy
aputι, unclean
aputι, not new
apιzʸōr,one who lies or deceives or mislead others
apιzʸōr, liar
apə̄ryum,from one side to other
apə̄ryum, on the other side
apʰιrā tʰapʰarī,haltingly
apʰιrā tʰapʰarī, confusions
apʰιrā tʰapʰarī, muddle
apʰιrā tʰapʰarī, bewilderment
apʰarvaṭ,a name of a hill in Kashmir
arab,Arab
arab, Arabia
apʰur,titillating
apʰur, mischievous
arabī,Arabian
aram,wisdom tooth
aram, molar tooth
arbāb,owners
arbāb, proprietors
arbāb, lords
arbāb, member
arbutʰ,pull a long face
arcǝkʰ,handcuff
arcǝkʰ, either of a pair of connected steel rings for shackling the wrist of a prisoner
ardābι,feed comprising of grind corn for animals
ardə̄l,orderly
ardə̄l, peon
arer kāsun,laid waste
arer kāsun, corrupt
arer kāsun, depraved
arfι,major Haj day
arfι, day before sacrificial Eid
arfι, day preceding either Eid
arer,sound healthy
arer, good condition
arer, good relation
argaj,a perfume made from sandalwood
argaj, rose
argaj, saffron
argaj, musk
arhar,a kind of pulse
arhar, arhar
arhə̄ṭʰ,sixty-eight
arjent,urgent
arjent, calling for immediate attention
arhῑṭʰʸum,sixty-eighth
armān,wish
armān, desire
armān, wistfulness
armān, longing
armān, yearning
arnamatʰ,ninety-eight
arnamtιhum,ninety-eighth
arsah,period
arsah, interval
arsah, space of time
arsah, duration
arnιkāl,& n. suffers or bears pain
arnιkāl, run down by misfortune
arsǝtatʰ,seventy-eight
arsǝtʸum,seventy-eighth
artal,golden-paper
artal, silver-paper
aršīttʸum,eighty-eighth
aršīt,eighty-eight
artrιh,thirty-eight
ahrι,fear
ahrι, threat
ahrι, danger
artʰātʰ,in this way
artʰātʰ, so
artʰātʰ, therefore
artʰ,meaning
artʰ, sense
artʰ, significance
artʰ, purpose
artʰ, significance
artʰ, intention
artʰ, meaning
artʰ, implication
artrιhʸum,thirty-eighth
arʦan,Hindu worship
arʦan, a Hindu religious worship
arʦan, idol worship
arʦun,to do worship
arun retʰ,evening star
arun retʰ, morning star
arun retʰ, Venus
arιvarι,from one end to other
arιvarι, pierced through across
arvanzehʸum,fifty-eighty
arvanzah,fifty-eight
arz karanwōl,suppliant
arz,appeal
arz, petition
arz, formally request
arz, request
arιdah,& adj. eighteen
arι,act of pulling or being pulled
arι, a tug
arιdə̄hʸum,eighteenth
arιš,the empyrean
arιš, throne
arιš, high
arιtə̄jih,forty-eight
arιtə̄jihʸum,forty-eighth
arι,creaking of wood
arιz karun,request
arιz karun, representation
arιz karun, petition
asalāmu-alə̄kum,greeting expression in Muslims
as,to emit explosive inarticulate vocal sounds expressive of amusement
as, joy or derision
asān asān,gladly
asān asān, happily
asbāb,baggage
asbāb, luggage
asbāb, belongings
asbāb, cases
asar,mark
asar, impression
asar, influence
asar, effect
asar, trace
asan kʰaⁿgālι,laughter
asan kʰaⁿgālι, big smile
asan kʰaⁿgālι, burst with laughter
asan kʰaⁿgālι, jest
asan kʰaⁿgālι, ridicule
asatʰ,an untrue statement made with intent to deceive
asatʰ, something that deceives or misleads
asbarag,a kind of flower
asbǝ,a kind of white colour bee
asɔndǝr,ugly
asɔndǝr, unattractive
asɔndǝr, unappealing
asɔndǝr, unlikable
asιl,noble
asιl, polite
asǝl zāt,caste
asǝl zāt, class
asǝl zāt, origin
asǝl zāt, background
asǝl zāt, kind
absāwun,to twist thread
asambιlī,assembly
asambιlī, in democratic country members of legislative assembly are being assembled
ashāb,companions (of the Holy Prophet)
ashāb, friends
ashāb, comrade
aslī,reality
aslī, basic facts about origin
aslī, genuineness
aslī, authentic
aslī, purity
aslāf,forefathers
aslāf, ancestors
aslāf, progenitors
asmān,the sky
asmān, the apparent vault over the earth
asmēn,sky blue colour
asmə̄n ǝnz,a bird
asmə̄n ǝnz, crane
asmə̄n ǝnz, a large wading bird with very long legs and neck
asmə̄n balāy,devastation
asmə̄n balāy, destruction
asōsēšǝn,association
asōsēšǝn, society
asōsēšǝn, union
asōsēšǝn, assembly
astān,shrine
astān, holy place
astān, memorial
astar,donkey
astǝr,the lining of a garment
astʰ,setting of sun
astʰ, moon
astʰ, star etc
astʰ,
asun trāvun,to laugh
astι,cubit
astι, an ancient measure of about 18 inch
astι, the forearm from the elbow to the wrist
asvad,& n. black
asvad, negro
asun,smile
asun, beam
asun, grin
asūr,infinite
asūr, an unlimited number
asūr, quantity
asūr, or time period; inestimable
asūr, immeasurable
asūr, vast
asūr, immense
astι astι,slowly
astι astι, unhurriedly
astι astι, bit by bit
asə̄m,client
asə̄m, customer
asə̄m, shopper
asə̄m, buyer
asə̄m, purchaser
asə̄m, patron
asʸuv,unboiled
asʸuv, uncooked
ašarfī,gold coin
ašarfī, gold coin worth 16 rupees
asιvun,cheerful
asιvun, merry
asιvun, jocose
ašɔn,auspicious moment in Hindu belief
ašid,September
ašrāf,nice people
ašrāf, gentleman
ašrāf, the high-born
ašrāf, aristocracy
ašrāf, noble
aškι,bone joint
ašṭι,eight
agun,fire
ašṭǝmī,eighth day of Hindu month
ašrǝful makʰlōkāt,mankind
ašrǝful makʰlōkāt, man (most eminent of the created beings)
ašud,a kind of medicine for eye disease
astι,secretly
astι, on the sly
astι, slowly
ašub,uproar
ašub, ill-luck
ašub, tempest
ašub, disturbance
ašub, tumult
ašvǝl,prostitute
ašvǝl, characterless woman
atur,a blunder
atur, lacking grace to do something
atur, error
atur, mistake
atvār,conduct
atvār, behaviour
atvār, ways
atvār, manners
atvār, practice
atvār, customs
atrāf,direction
atrāf, side
atrāf, extremities
atrāf, environs
atrāf, outpost
atrāf, suburbs
ati,there
ati, that place or point
ati, thereabout
atrə̄f,extravagant person
atrə̄f, prodigal
atrə̄f, spendthrift
aṭam bam,atom bomb
atʰ,with
atʰ, denotes nearness or agreement
atʰarvēd,one of the Hindu scriptures (Hindu Metaphysics Vedanta)
atʰuk,anything which is done with hands like handicraft
atʰι anun,to withdraw
atʰι anun, to draw back or away
atʰι anun, to retract
atʰι bāji,musical instrument
atʰι bāji, harmonium
atʰι palzun,help
atʰι palzun, assistance
atʰι palzun, reinforcement
atʰι palzun, aid
atʰι mīṭʰ,to kiss hand
atʰι pιṭʰrun,to wash hands
atʰι trāwun,let go
atʰι trāwun, free
atʰι trāwun, let loose
atʰι trāwun, leave go of
atʰι trāwun, release
atʰι ʦoṭ,chapati
atʰι ʦoṭ, handmade bread
atʰι,hand
atʰι-panjι,gloves
aṭal,stand up
aṭal, to with stand criticism
aṭal, to tolerate
aṭal, close examination
aṭal, strong opinion
aṭʰkal,with interest
aṭʰkal, devotedly
aṭʰkal, enthusiastically
atʰιvās,handshake
atʰιvās, a grasping and shaking of a person’s hand as a greeting or when concluding an agreement
aṭʰowuh,twenty-eight
aṭʰowuhyum,twenty-eighth
aʦʰunʸ,breakable
aʦʰunʸ, fragileness
aʦʰunʸ, delicate
aʦʰunʸ, weak
aʦʰunʸ, flimsy
aʦʰunʸ, poor
aʦnēr,visits and return visits
aʦōp,not masticate
aʦōp, not reduced to a pulp
avhāl,condition
avhāl, situation
avhāl, state
avhāl, circumstances
aʦun,to come
aʦun, to approach
aʦun, to enter
aʦun, to finish in a certain position
avsat,average
avsat, regular
avsat, mean
avsat, norm
aʦ,get in
aʦ, enter
aʦ, join
ayāⁿ,manifest
ayāⁿ, obvious
ayāⁿ, patent
ayāⁿ, clear
ayāⁿ, visible
az kāl,these days
az nǝtι adι kar,do not leave tomorrow what you can do today
az pʸeṭ,from today
az pʸeṭ, henceforth
az pʸeṭ, hence
az az,these days
az az, nowadays
az kālι,present day world
az kālι, modern times
az kālι, nowadays
az pǝgah karun,& phrase shirk work
az pǝgah karun, put of work
az pǝgah karun, postpone
az rātǝs,that night
az rātǝs, this night
az subhan,this morning
azāb,punishment
azāb, torture
az šāmǝs,this evening
az,& v. today
az, this day
azalnāmι,result
azalnāmι,luck
azalnāmι, fate
azalnāmι, fortune
azalnāmι, destiny
azal,beginning
azal, eternity
azal, source
azal, origin
azār,sorrow
azār, grief
azār, sadness
azār, worry
azān,a call for prayer in Muslims
azarwōn,apprehensive of or hostile towards someone thought of as a rival
azarwōn, resentful
azarwōn, envious
azǝrwə̄n,envious
azǝrwə̄n, covetous
azǝrwə̄n, resentful
azǝrwə̄n, jealous
azhad,unrestricted
azhad, boundless
azhad, illimitable
azīmu-šān,magnificent
azīmu-šān, wonderful
azīz,& n. dear
azīz, mighty; relative
azīz, friend
azlῑ lōn,misfortune
azlῑ lōn, unlucky
azkār gǝʦun,& v. hinder
azkār gǝʦun, handicap
azkār gǝʦun, mental or physical impairment
azmāvun,to examine critically
azmāvun, try
azmāvun, experiment
azmāvun, test
azmāvun, scrutinize
azmāyiš karin,examination
azmāyiš karin, trial
azmāyiš karin, test
azmāyiš karin, proof
azmoⁿmut,tried
azmoⁿmut, examined
azmoⁿmut, checked out
azmə̄yiš,temptation
azmə̄yiš, persuasion
azmə̄yiš, pull
azmə̄yiš, inducement
azmə̄yiš, examnination
azov,milk which is not curdled by bacteria
azov, non- fermented milk
aztām,till now
aztām, yet
aztām, so far
azə̄nʸ,stranger
azə̄nʸ, foreigner
azə̄nʸ, alien
alι hǝṭ,dried gourd
acʰīṭ,possessing the evil eye
acʰīṭ, jealous
abāzun,one without virtue
abāzun, wealth
abāzun, or knowledge
adal badal wanun,to make an incorrect statement in conversation; to give incorrect instruction
adal wadal,abusive language
adal wadal, attacking abusively
adālǝti,one who presides in a court of justice
adālǝti, a judge
aḍam zaḍ,very little
aḍam zaḍ, used regarding the partial return of something deposited
aḍijι kʰōⁿgur,a skeleton; a main bone of a complete skeleton
aḍijι kʰōⁿgur, a living skeleton (of one who is very lean)
adyāy,a chapter or section of a book
aḍun,to become half; hence
aḍun, to become lean or wasted
aḍʸul,the rounded head of a bone
aḍʸul, a large bone
aḍʸul, such as that of the leg
aḍι kǝj,one who stammer
aḍijι trangur,a string of connected bones
aḍι trakur,having hard or strong bones
adog,not husked (as of paddy in a mortar)
afsūs lārun,to become vexed
agāl magāl,dirtied
agāl magāl, etc.; used specially of incorrect writing full of mistakes
ag,a knot in wood; the knot in a tree
agādi gaʦun,to persevere steadily
agādi gaʦun, to persist till one has gained one's object
agādi gaʦun, to display causeless wrath against one who is without fault
agun diyun,to fire
agastι pōš,the name of a certain plant described as blooming in the autumn
agastι pōš, having a strong scent
agastι pōš, with flowers of nearly every colour
agǝnḍ,not tied up
agonḍ,not tied up
agol,not molten
agol, not melted
agol, still unmelted
agol, not reduced to a liquid form (usually of metals exposed to heat)
agōr,not terrible
agōr, a euphemistic name of Lord šiva
agor,not worked
agor, not smoothed off
agor, rough (of metal vessels or ornaments
agor, earthen vessels
agor, wooden pillars
aguh,not ground
aguh, not reduced to a fine powder
agι ziyun,firewood in which there are many knots
agunι kuṭʰ,the name of a particular moment or place fixed for sacrificial purposes
agur,sandal
agyān,ignorance
agyān, want of intelligence
agunιkonḍ,a hole or enclosed space for the consecrated fire at a sacrifice
agιdār,timber in which there are many knots
ahāl,to be skilful in any work
ahāl, to be well practised in anything
ahāl, to know how to do anything
ahlun,to agree to any action
ahlāwun,causes another to agree to any action
ahankār,pride
ahankār, vanity
ahankār, overweening or insolent behaviour
ahankār, whether due to wealth
ahankār, knowledge
ahankār, or family; the conceit of individuality
ahankār, belief in the independent existence of the ego
ahōr,not returned (of a debt
ahōr, or anything lent)
ahrēmιʦ,one who has become hard or obstinate by perversity or change of nature
ahrōymut,one who has become hard or obstinate by perversity or change of nature
ahrun,to be distraught from fear
ahrun, sorrow
ahrun, or the like; also
ahrun, to show extreme obstinacy
ahrιbal,the name of a well-known district and waterfall in Kashmīr
aji hāri hʸund,of half a cowry
aji hāri hʸund, worth only half a cowry
aji hāri hʸund, worth nothing
aji rə̄ʦ,at midnight
aji wati,at half-way
aji wati, having reached half-way
ajī wait,exactly half-way
atines,there
aṭι bōr,a burden carried on the shoulder or back; a shoulder on which a burden is carried
aji,half
aji, partially
aji, partly
aṭι,the rope for tying a burden on the shoulders
akōy,only one
bab,breast
babι ṭeⁿḍ,nipple of the breast of a human being or beast
bab,father
bab, grandfather
bab, or other ancestor
babι,udder
bacāwun,to save
bacāwun, put aside
bacāwun, keep
bacāwun, conserve
bacet,saving
bacet, economy
bacet, cutback
bacet, economy
bacet, reduction
bacidə̄nʸ,uterus
bacidə̄nʸ, womb
baci,kid
baci, a cild
baci-kut,dance boy
bacun,get rid of
bacun, get away
bacun, throw away
bacun, escape
bad andēš,envious
bad andēš, jealous
bad andēš, resentful
bad bū,stink
bad dā,cursing
bad dā, nuisance
bad dā, annoyance
baḍ māz,beef
badal akʰ,substitute
badal akʰ, alternate
badal akʰ, replacement
badal,instead
badal, as an alternative
badal, as a substitute
badal, in its place
baḍāwun,improve
baḍāwun, get better
baḍāwun, advance
baḍāwun, progress
baḍāwun, develop
baḍāwun, add to
baḍāwun, boost
badlι,revenge
badlι, reprisal
badlι, vengeance
badmāš,defame
badmāš, deprecate
badmāš, intoxicated
badmāš, drunk
badmāš, under the influence
badbakʰt,unfortunate
badbakʰt, ill-fated
badbakʰt, unlucky
badnām karun,defame
badnām karun, deprecate
badnām karun, disparage
badnām karun, insult
bǝḍrāv,sink
bǝḍrāv, go under
bǝḍrāv, go under the surface
bǝḍrāv, drop
bad-sūrat,ugly
bad-sūrat, unattractive
bad-sūrat, unsightly
bad-sūrat, horrible
bad-sūrat, nasty
bad-sūrat, horrible
bad-šakl,deformed
bad-šakl, ugly
bad-šakl, unappealing
bad-šakl, distasteful
bagāwat karin,revolt
bagāwat karin, insurgency
bagāwat karin, rebellion
bah,twelve
baḍun,falling
baḍun, tumbling
baḍun, tumbling
baḍun, dropping
baḍun, dipping
baḍun, plummeting
baḍun, sinking
bahādur,brave
bahādur, courageous
bahādur, heroic
bahādur, bold
bahādur, daring
bahādur, fearless
bahādurī,courage
bahādurī, bravery
bahādurī, guts
bahādurī, daring
bahādurī, audacity
bahānι,cause
bahānι, reason
bahānι, motivation
bahānι, grounds
bahānι, pretence
bah,vapor
bah, spray
bah, steam
bahānι karun,pretend
bahānι karun, make believe
bahānι karun, act as if
bahānι karun, make up
bahānι karun, play
bahār,Spring
bahaʦ,contention
bahaʦ, debate
bahaʦ, controversy
bahaʦ, argument
bahaʦ, opinion
bahaʦ, claim
bahaʦ, disputation
bajerʸ,largeness
bajerʸ, large size
bajerʸ, expansiveness
bajerʸ, seniority
bajerʸ, position
bajerʸ, superiority
bajerʸ, rank
bakʰil,stingy
bakʰil, miserly
bakʰil, tightfisted
bakʰil, penny-pinching
bakʰšiš,gratuity
bakʰšiš, reward
bakʰšiš, payment
bakʰšiš, incentive
bakʰšun,endow
bakʰšun, give
bakʰšun, leave confer on
bakʰšun, hand down
bakʰšun, bequeath
bakʰšun, to forgive
bakʰšun, pardon
bakʰšun, excuse
bakʰšun, forgive and forget
bakʰtι boḍ,successful
bakʰtι boḍ, star
bakʰtι boḍ, thriving
bakʰt,luck
bakʰt, fortune
bakʰt, good luck
bakʰt, good fortune
bakʰt, godsend
bakʰtāwār,lucky
bakʰtāwār, fortunate
bakʰtāwār, blessed
bakʰtāwār, auspicious
balgam,phlegm
balāy,calamity
balāy, disaster
balāy, tragedy
